eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.3527539805518591,0.647246019448141
ae:00:4a:06:2b:46,9e:f9:41:a5:3d:a0,None,None,42,,0.055092573165893555,0,84,2,1,0.4031474349406501,0.5968525650593504
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.04790472984313965,1,126,2,2,0.4222379741135126,0.5777620258864877
9e:f9:41:a5:3d:a0,ae:00:4a:06:2b:46,10.0.0.1,10.0.0.2,98,ICMP,0.0482022762298584,0,224,3,3,0.7357395996137664,0.2642604003862332
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.04773402214050293,2,266,3,4,0.8416870321146348,0.1583129678853649
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,5.469891548156738,0,0,1,0,0.53073897733394,0.4692610226660601
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.05218672752380371,1,84,1,1,0.4692883334023368,0.5307116665976631
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.05013561248779297,2,126,1,2,0.5173221289658705,0.48267787103412946
42:b4:3f:ed:c9:90,9e:f9:41:a5:3d:a0,None,None,42,,0.05012869834899902,0,168,2,3,0.6917900243269429,0.30820997567305675
42:b4:3f:ed:c9:90,9e:f9:41:a5:3d:a0,None,None,42,,0.04953575134277344,1,210,2,4,0.7568007842875196,0.2431992157124802
42:b4:3f:ed:c9:90,9e:f9:41:a5:3d:a0,None,None,42,,0.04890036582946777,2,252,2,5,0.8830301050976617,0.11696989490233871
9e:f9:41:a5:3d:a0,42:b4:3f:ed:c9:90,10.0.0.1,10.0.0.5,98,ICMP,0.04949355125427246,0,350,3,6,0.8946097392739777,0.10539026072602259
9e:f9:41:a5:3d:a0,42:b4:3f:ed:c9:90,10.0.0.1,10.0.0.5,98,ICMP,0.05061960220336914,1,448,3,7,0.8997371094456592,0.10026289055434127
9e:f9:41:a5:3d:a0,42:b4:3f:ed:c9:90,10.0.0.1,10.0.0.5,98,ICMP,0.051177263259887695,2,546,3,8,0.9060996055022343,0.09390039449776626
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,7.44562554359436,0,0,1,0,0.53073897733394,0.4692610226660601
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.05422711372375488,1,84,1,1,0.4692883334023368,0.5307116665976631
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.049469947814941406,2,126,1,2,0.5173221289658705,0.48267787103412946
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.9195854663848877,2,126,1,2,0.5471213195867203,0.45287868041327994
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.0528559684753418,2,126,1,2,0.5173221289658705,0.48267787103412946
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.050531864166259766,2,126,1,2,0.5173221289658705,0.48267787103412946
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.9199912548065186,2,126,1,2,0.5471213195867203,0.45287868041327994
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.05510354042053223,2,126,1,2,0.5173221289658705,0.48267787103412946
9e:f9:41:a5:3d:a0,ff:ff:ff:ff:ff:ff,None,None,42,,0.04942631721496582,2,126,1,2,0.5173221289658705,0.48267787103412946
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,6.039934873580933,0,0,1,0,0.5226778724171849,0.4773221275828152
a6:fa:15:f7:0b:1b,ae:00:4a:06:2b:46,None,None,42,,0.051221609115600586,0,84,2,1,0.4062083323765475,0.5937916676234529
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,0.04886198043823242,1,126,2,2,0.41071894436015627,0.5892810556398441
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,0.04971742630004883,2,168,2,3,0.6079778018646158,0.3920221981353843
ae:00:4a:06:2b:46,a6:fa:15:f7:0b:1b,10.0.0.2,10.0.0.3,98,ICMP,0.05088949203491211,0,266,3,4,0.8065982157446857,0.19340178425531432
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,2.6678740978240967,0,0,1,0,0.517986799804565,0.48201320019543514
