[2023-05-27 05:08:02] ryuCPU: 0.0%, ryuMEM: 161.9765625 MB, totCPU: 0.0%, totMEM: 4.1%
[2023-05-27 05:08:05] ryuCPU: 0.0%, ryuMEM: 161.9765625 MB, totCPU: 0.0%, totMEM: 4.1%
[2023-05-27 05:08:08] ryuCPU: 0.0%, ryuMEM: 161.9765625 MB, totCPU: 28.1%, totMEM: 4.2%
[2023-05-27 05:08:11] ryuCPU: 0.0%, ryuMEM: 161.99609375 MB, totCPU: 0.0%, totMEM: 4.2%
[2023-05-27 05:08:15] ryuCPU: 0.0%, ryuMEM: 161.99609375 MB, totCPU: 0.0%, totMEM: 4.2%
[2023-05-27 05:08:18] ryuCPU: 0.0%, ryuMEM: 161.99609375 MB, totCPU: 0.7%, totMEM: 4.2%
[2023-05-27 05:08:21] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 38.6%, totMEM: 4.4%
[2023-05-27 05:08:24] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 40.3%, totMEM: 4.4%
[2023-05-27 05:08:27] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 39.8%, totMEM: 4.4%
[2023-05-27 05:08:30] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 0.0%, totMEM: 4.2%
[2023-05-27 05:08:33] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 0.5%, totMEM: 4.2%
[2023-05-27 05:08:36] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 1.0%, totMEM: 4.2%
[2023-05-27 05:08:39] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 0.2%, totMEM: 4.3%
[2023-05-27 05:08:42] ryuCPU: 0.0%, ryuMEM: 161.80859375 MB, totCPU: 0.3%, totMEM: 4.3%
[2023-05-27 05:08:45] ryuCPU: 99.9%, ryuMEM: 161.80859375 MB, totCPU: 15.1%, totMEM: 4.3%
[2023-05-27 05:08:48] ryuCPU: 99.9%, ryuMEM: 161.80859375 MB, totCPU: 15.4%, totMEM: 4.3%
[2023-05-27 05:08:51] ryuCPU: 100.5%, ryuMEM: 161.80859375 MB, totCPU: 14.6%, totMEM: 4.3%
