[2023-05-23 12:20:21] ryuCPU: 35.7%, ryuMEM: 204.8125 MB, totCPU: 53.8%, totMEM: 7.3%
[2023-05-23 12:20:24] ryuCPU: 0.0%, ryuMEM: 204.921875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:28] ryuCPU: 1.0%, ryuMEM: 204.9921875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:31] ryuCPU: 0.0%, ryuMEM: 204.9921875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:34] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.3%
[2023-05-23 12:20:37] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:20:40] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:20:43] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:46] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:49] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:52] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:55] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.3%
[2023-05-23 12:20:58] ryuCPU: 35.0%, ryuMEM: 204.85546875 MB, totCPU: 14.5%, totMEM: 7.3%
[2023-05-23 12:21:01] ryuCPU: 55.5%, ryuMEM: 204.85546875 MB, totCPU: 16.4%, totMEM: 7.3%
[2023-05-23 12:21:04] ryuCPU: 51.9%, ryuMEM: 204.85546875 MB, totCPU: 20.3%, totMEM: 7.3%
[2023-05-23 12:21:07] ryuCPU: 44.8%, ryuMEM: 204.85546875 MB, totCPU: 21.0%, totMEM: 7.3%
[2023-05-23 12:21:10] ryuCPU: 48.9%, ryuMEM: 204.85546875 MB, totCPU: 17.7%, totMEM: 7.3%
[2023-05-23 12:21:13] ryuCPU: 44.3%, ryuMEM: 204.85546875 MB, totCPU: 20.3%, totMEM: 7.3%
[2023-05-23 12:21:16] ryuCPU: 42.9%, ryuMEM: 204.85546875 MB, totCPU: 18.7%, totMEM: 7.3%
[2023-05-23 12:21:19] ryuCPU: 50.9%, ryuMEM: 204.85546875 MB, totCPU: 17.7%, totMEM: 7.3%
[2023-05-23 12:21:22] ryuCPU: 57.0%, ryuMEM: 204.85546875 MB, totCPU: 18.5%, totMEM: 7.4%
[2023-05-23 12:21:25] ryuCPU: 47.0%, ryuMEM: 204.85546875 MB, totCPU: 16.4%, totMEM: 7.4%
[2023-05-23 12:21:28] ryuCPU: 48.9%, ryuMEM: 204.85546875 MB, totCPU: 18.2%, totMEM: 7.4%
[2023-05-23 12:21:31] ryuCPU: 48.6%, ryuMEM: 204.85546875 MB, totCPU: 27.3%, totMEM: 7.4%
[2023-05-23 12:21:34] ryuCPU: 33.9%, ryuMEM: 204.85546875 MB, totCPU: 14.7%, totMEM: 7.4%
[2023-05-23 12:21:37] ryuCPU: 44.9%, ryuMEM: 204.85546875 MB, totCPU: 19.4%, totMEM: 7.4%
[2023-05-23 12:21:40] ryuCPU: 55.9%, ryuMEM: 204.85546875 MB, totCPU: 16.7%, totMEM: 7.4%
[2023-05-23 12:21:43] ryuCPU: 46.5%, ryuMEM: 204.85546875 MB, totCPU: 13.0%, totMEM: 7.4%
[2023-05-23 12:21:46] ryuCPU: 50.8%, ryuMEM: 204.85546875 MB, totCPU: 19.7%, totMEM: 7.4%
