eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
aa:9f:5e:39:39:26,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.3415617198177606,0.6584382801822396
02:5b:0b:f0:4f:f4,aa:9f:5e:39:39:26,None,None,42,,0.08501124382019043,0,84,2,1,0.5442209303346102,0.4557790696653895
aa:9f:5e:39:39:26,ff:ff:ff:ff:ff:ff,None,None,42,,0.04975104331970215,1,126,2,2,0.4141965084627204,0.58580349153728
aa:9f:5e:39:39:26,ff:ff:ff:ff:ff:ff,None,None,42,,0.050891876220703125,2,168,2,3,0.6223503183174424,0.3776496816825576
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,74,TCP,0.050128936767578125,0,242,3,4,0.8066404012373858,0.19335959876261397
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,66,TCP,0.05107712745666504,1,308,3,5,0.8578032484987207,0.14219675150127944
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,1514,TCP,0.04978179931640625,2,1822,3,6,0.5754531278076404,0.42454687219235965
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,1514,TCP,0.04966092109680176,3,3336,3,7,0.7478233994277184,0.2521766005722813
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,1514,TCP,0.049343109130859375,4,4850,3,8,0.8123721443732277,0.187627855626772
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,1514,TCP,0.048937320709228516,5,6364,3,9,0.8177436478697312,0.1822563521302685
aa:9f:5e:39:39:26,02:5b:0b:f0:4f:f4,10.0.0.1,10.0.0.2,1514,TCP,0.04946184158325195,6,7878,3,10,0.8187970666731501,0.1812029333268497
