eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.4764564010312722,0.5235435989687277
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03584027290344238,1,84,1,1,0.5968725082028058,0.40312749179719437
ee:60:29:63:ba:e4,7a:c4:49:d7:23:b9,None,None,42,,0.03453183174133301,0,126,2,2,0.37190671132319997,0.6280932886767998
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,74,TCP,0.03425955772399902,0,200,3,3,0.7979748810084487,0.2020251189915512
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.0652017593383789,2,242,3,4,0.9245013638322463,0.07549863616775383
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,66,TCP,0.03481721878051758,1,308,3,5,0.9272326950010777,0.07276730499892266
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03385448455810547,2,1822,3,6,0.4569519957167014,0.5430480042832985
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03347158432006836,3,3336,3,7,0.5239611450818291,0.47603885491817094
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.034552574157714844,4,4850,3,8,0.5227727803419938,0.4772272196580062
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.034662485122680664,5,6364,3,9,0.5268442089134224,0.47315579108657757
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.034363508224487305,6,7878,3,10,0.5413754589134225,0.4586245410865776
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03427696228027344,7,9392,3,11,0.5413754589134225,0.4586245410865776
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03438568115234375,8,10906,3,12,0.5471909351038986,0.4528090648961014
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.035811662673950195,9,12420,3,13,0.5512534351038986,0.4487465648961014
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03444671630859375,10,13934,3,14,0.553642504367968,0.44635749563203203
7a:c4:49:d7:23:b9,ee:60:29:63:ba:e4,10.0.0.1,10.0.0.2,1514,TCP,0.03481936454772949,11,15448,3,15,0.5643523257965394,0.43564767420346057
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,23.70420265197754,0,0,1,0,0.6871402090210981,0.3128597909789018
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.06934118270874023,1,84,1,1,0.5968725082028058,0.40312749179719437
e6:e6:cb:4f:a8:9f,7a:c4:49:d7:23:b9,None,None,42,,0.03143143653869629,0,126,2,2,0.37153171132320006,0.6284682886767998
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03257441520690918,2,168,2,3,0.328726391956651,0.6712736080433491
7a:c4:49:d7:23:b9,e6:e6:cb:4f:a8:9f,10.0.0.1,10.0.0.3,98,ICMP,0.03150320053100586,0,266,3,4,0.9056751102247429,0.0943248897752574
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.033173322677612305,3,308,3,5,0.9681480088538913,0.031851991146108795
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.033541202545166016,4,350,3,6,0.9683910644094469,0.03160893559055324
86:c1:be:10:12:d3,7a:c4:49:d7:23:b9,None,None,42,,0.03184700012207031,0,392,4,7,0.9492951048134871,0.05070489518651284
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03201413154602051,5,434,4,8,0.9748861624486623,0.025113837551337555
7a:c4:49:d7:23:b9,86:c1:be:10:12:d3,10.0.0.1,10.0.0.4,98,ICMP,0.031578779220581055,0,532,5,9,0.9237987255799758,0.07620127442002443
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.06985235214233398,6,574,5,10,0.9749040195915196,0.02509598040848041
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03377866744995117,7,616,5,11,0.9709977695915196,0.02900223040848041
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03225994110107422,8,658,5,12,0.9688949765512264,0.03110502344877345
86:e9:e4:ce:b2:43,7a:c4:49:d7:23:b9,None,None,42,,0.032094717025756836,0,700,6,13,0.9586372204184702,0.04136277958152958
86:e9:e4:ce:b2:43,7a:c4:49:d7:23:b9,None,None,42,,0.032850027084350586,1,742,6,14,0.968754825036075,0.031245174963924965
86:e9:e4:ce:b2:43,7a:c4:49:d7:23:b9,None,None,42,,0.03214216232299805,2,784,6,15,0.9742994678932179,0.02570053210678211
7a:c4:49:d7:23:b9,86:e9:e4:ce:b2:43,10.0.0.1,10.0.0.7,98,ICMP,0.03254389762878418,0,882,7,16,0.9763338744588747,0.023666125541125543
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.034758806228637695,9,924,7,17,0.99203125,0.00796875
7a:c4:49:d7:23:b9,86:e9:e4:ce:b2:43,10.0.0.1,10.0.0.7,98,ICMP,0.0325925350189209,1,1022,7,18,0.9876377164502165,0.01236228354978355
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03190445899963379,10,1064,7,19,0.9921875,0.0078125
7a:c4:49:d7:23:b9,86:e9:e4:ce:b2:43,10.0.0.1,10.0.0.7,98,ICMP,0.03420281410217285,2,1162,7,20,0.982411525974026,0.017588474025974025
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03217482566833496,11,1204,7,21,0.9876874999999999,0.012312499999999999
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.05255722999572754,12,1246,7,22,0.9876874999999999,0.012312499999999999
