eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
62:36:f8:ba:98:85,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.5131164907373177,0.48688350926268226
62:36:f8:ba:98:85,ff:ff:ff:ff:ff:ff,None,None,42,,0.03567171096801758,1,84,1,1,0.6388412684050215,0.36115873159497824
16:35:ca:37:fa:67,62:36:f8:ba:98:85,None,None,42,,0.034037113189697266,0,126,2,2,0.48585735307415545,0.5141426469258444
62:36:f8:ba:98:85,ff:ff:ff:ff:ff:ff,None,None,42,,0.06573677062988281,2,168,2,3,0.3751198842894813,0.6248801157105187
62:36:f8:ba:98:85,16:35:ca:37:fa:67,10.0.0.1,10.0.0.2,98,ICMP,0.033770084381103516,0,266,3,4,0.9060013222072045,0.09399867779279543
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,4.595405578613281,0,0,1,0,0.7318257897372511,0.2681742102627485
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.03464818000793457,1,84,1,1,0.7112610062151464,0.28873899378485285
06:21:c0:8a:40:db,16:35:ca:37:fa:67,None,None,42,,0.03286242485046387,0,126,2,2,0.48159842450272683,0.5184015754972728
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.03289628028869629,2,168,2,3,0.4625379726053099,0.5374620273946902
16:35:ca:37:fa:67,06:21:c0:8a:40:db,10.0.0.2,10.0.0.4,98,ICMP,0.0330357551574707,0,266,3,4,0.9192471735780557,0.08075282642194409
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,2.7447595596313477,0,0,1,0,0.7318257897372511,0.2681742102627485
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.06844949722290039,1,84,1,1,0.7121985062151462,0.28780149378485287
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.03303337097167969,2,126,1,2,0.7401506617952046,0.2598493382047949
16:91:74:bf:11:df,16:35:ca:37:fa:67,None,None,42,,0.03316068649291992,0,168,2,3,0.5035040737019258,0.49649592629807393
16:91:74:bf:11:df,16:35:ca:37:fa:67,None,None,42,,0.03350043296813965,1,210,2,4,0.8725817183225266,0.12741828167747282
16:91:74:bf:11:df,16:35:ca:37:fa:67,None,None,42,,0.03273725509643555,2,252,2,5,0.924147104325413,0.07585289567458689
16:35:ca:37:fa:67,16:91:74:bf:11:df,10.0.0.2,10.0.0.5,98,ICMP,0.03314638137817383,0,350,3,6,0.9302377455061278,0.06976225449387216
16:35:ca:37:fa:67,16:91:74:bf:11:df,10.0.0.2,10.0.0.5,98,ICMP,0.03263378143310547,1,448,3,7,0.9389394500515824,0.06106054994841761
16:35:ca:37:fa:67,16:91:74:bf:11:df,10.0.0.2,10.0.0.5,98,ICMP,0.03275752067565918,2,546,3,8,0.9395741584804084,0.06042584151959154
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,2.657999277114868,0,0,1,0,0.7318257897372511,0.2681742102627485
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.035503387451171875,1,84,1,1,0.7121985062151462,0.28780149378485287
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.0336453914642334,2,126,1,2,0.7401506617952046,0.2598493382047949
