eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.4715605067228754,0.5284394932771243
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.06649446487426758,1,84,1,1,0.62366286981893,0.3763371301810701
f2:55:e2:50:cd:41,fe:90:a4:01:89:12,None,None,42,,0.04940629005432129,0,126,2,2,0.4230834669392175,0.5769165330607828
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,74,TCP,0.04995846748352051,0,200,3,3,0.7705000072885068,0.22949999271149313
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.04982137680053711,2,242,3,4,0.8505017779318391,0.14949822206816082
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,66,TCP,0.05044674873352051,1,308,3,5,0.8913539316581602,0.10864606834183997
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.04921412467956543,2,1822,3,6,0.5970698558365201,0.40293014416347983
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.04942059516906738,3,3336,3,7,0.7575020377685084,0.24249796223149128
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.050191640853881836,4,4850,3,8,0.8278387100644452,0.17216128993555463
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.051686763763427734,5,6364,3,9,0.8322326494583846,0.16776735054161523
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.05047607421875,6,7878,3,10,0.8332860682618034,0.16671393173819643
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.0557103157043457,7,9392,3,11,0.8433398686281038,0.15666013137189605
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.050673484802246094,8,10906,3,12,0.8522197334027056,0.14778026659729443
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.049637556076049805,9,12420,3,13,0.8604734125938848,0.1395265874061153
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.051206111907958984,10,13934,3,14,0.8605845237049957,0.13941547629500417
fe:90:a4:01:89:12,f2:55:e2:50:cd:41,10.0.0.1,10.0.0.2,1514,TCP,0.051918983459472656,11,15448,3,15,0.859929761800234,0.14007023819976608
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,23.5599102973938,0,0,1,0,0.7266728094218202,0.27332719057817983
0a:e7:be:36:6a:49,fe:90:a4:01:89:12,None,None,42,,0.05336880683898926,0,84,2,1,0.5696401414130504,0.43035985858694964
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.04936790466308594,1,126,2,2,0.5441751945723557,0.45582480542764414
fe:90:a4:01:89:12,0a:e7:be:36:6a:49,10.0.0.1,10.0.0.3,98,ICMP,0.05293989181518555,0,224,3,3,0.7468160610367854,0.25318393896321445
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.04847979545593262,2,266,3,4,0.8571902922313374,0.14280970776866256
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.04918336868286133,3,308,3,5,0.9290632011829505,0.0709367988170502
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.050046682357788086,4,350,3,6,0.9392600129661752,0.060739987033825354
0e:a7:89:c9:2c:ad,fe:90:a4:01:89:12,None,None,42,,0.04932355880737305,0,392,4,7,0.9558921204307954,0.04410787956920511
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.050074100494384766,5,434,4,8,0.9443367900186471,0.0556632099813534
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.049810171127319336,6,476,4,9,0.951244243063314,0.04875575693668639
fe:90:a4:01:89:12,0e:a7:89:c9:2c:ad,10.0.0.1,10.0.0.4,98,ICMP,0.04974031448364258,0,574,5,10,0.9531606700259954,0.0468393299740049
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.05045580863952637,7,616,5,11,0.9675435431370033,0.032456456862997106
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.050228118896484375,8,658,5,12,0.9812699268324271,0.018730073167573167
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.05360150337219238,9,700,5,13,0.9785160837256429,0.021483916274357452
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.050847768783569336,10,742,5,14,0.9815889376504704,0.018411062349529838
96:a7:a4:c4:fa:fc,fe:90:a4:01:89:12,None,None,42,,0.050308942794799805,0,784,6,15,0.9734440341388622,0.026555965861138158
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.05135941505432129,11,826,6,16,0.974057550285893,0.02594244971410752
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.051218271255493164,12,868,6,17,0.9746124881549292,0.02538751184507118
96:a7:a4:c4:fa:fc,fe:90:a4:01:89:12,None,None,42,,0.04897022247314453,1,910,6,18,0.9832058317213119,0.0167941682786884
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.05013108253479004,13,952,6,19,0.9773020879309975,0.02269791206900284
96:a7:a4:c4:fa:fc,fe:90:a4:01:89:12,None,None,42,,0.04950261116027832,2,952,6,19,0.9810206465361268,0.018979353463873586
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.05037403106689453,13,952,5,19,0.9773020879309975,0.02269791206900284
fe:90:a4:01:89:12,ff:ff:ff:ff:ff:ff,None,None,42,,0.04848289489746094,13,952,5,19,0.9773020879309975,0.02269791206900284
fe:90:a4:01:89:12,96:a7:a4:c4:fa:fc,10.0.0.1,10.0.0.7,98,ICMP,0.0507051944732666,0,952,5,19,0.976257580370752,0.023742419629248276
