[2023-05-26 11:13:12] ryuCPU: 1.0%, ryuMEM: 162.015625MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 6.3%, TotalMEM: 4.4%
[2023-05-26 11:13:15] ryuCPU: 0.0%, ryuMEM: 162.015625MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 0.0%, TotalMEM: 4.4%
[2023-05-26 11:13:18] ryuCPU: 0.0%, ryuMEM: 162.015625MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 4.9%, TotalMEM: 4.4%
[2023-05-26 11:13:21] ryuCPU: 0.0%, ryuMEM: 162.015625MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 5.2%, TotalMEM: 4.5%
[2023-05-26 11:13:24] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 35.4%, TotalMEM: 4.5%
[2023-05-26 11:13:27] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 36.8%, TotalMEM: 4.5%
[2023-05-26 11:13:30] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 32.2%, TotalMEM: 4.5%
[2023-05-26 11:13:33] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 19.5%, TotalMEM: 4.5%
[2023-05-26 11:13:36] ryuCPU: 1.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 0.0%, TotalMEM: 4.5%
[2023-05-26 11:13:39] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 0.0%, TotalMEM: 4.5%
[2023-05-26 11:13:43] ryuCPU: 1.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 0.2%, TotalMEM: 4.5%
[2023-05-26 11:13:46] ryuCPU: 0.0%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 0.0%, TotalMEM: 4.5%
[2023-05-26 11:13:49] ryuCPU: 100.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 21.0%, TotalMEM: 4.5%
[2023-05-26 11:13:52] ryuCPU: 100.5%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 17.4%, TotalMEM: 4.5%
[2023-05-26 11:13:55] ryuCPU: 101.5%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 16.4%, TotalMEM: 4.5%
[2023-05-26 11:13:58] ryuCPU: 99.7%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 19.7%, TotalMEM: 4.5%
[2023-05-26 11:14:01] ryuCPU: 100.2%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 18.3%, TotalMEM: 4.5%
[2023-05-26 11:14:04] ryuCPU: 99.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 18.5%, TotalMEM: 4.5%
[2023-05-26 11:14:07] ryuCPU: 100.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 18.6%, TotalMEM: 4.5%
[2023-05-26 11:14:10] ryuCPU: 101.7%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 17.9%, TotalMEM: 4.5%
[2023-05-26 11:14:13] ryuCPU: 100.2%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 18.0%, TotalMEM: 4.5%
[2023-05-26 11:14:16] ryuCPU: 99.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 18.1%, TotalMEM: 4.5%
[2023-05-26 11:14:19] ryuCPU: 99.9%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 47.9%, TotalMEM: 5.3%
[2023-05-26 11:14:22] ryuCPU: 99.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 47.6%, TotalMEM: 5.3%
[2023-05-26 11:14:25] ryuCPU: 100.6%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 47.9%, TotalMEM: 5.3%
[2023-05-26 11:14:28] ryuCPU: 99.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 36.8%, TotalMEM: 5.4%
[2023-05-26 11:14:31] ryuCPU: 99.7%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 30.2%, TotalMEM: 5.4%
[2023-05-26 11:14:34] ryuCPU: 99.8%, ryuMEM: 161.828125MB, hping3CPU: 0%, hping3MEM: 0MB, TotalCPU: 46.8%, TotalMEM: 5.5%
