eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.492413714897074,0.5075862851029259
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.0322413444519043,1,84,1,1,0.44899484257572486,0.5510051574242751
d2:c6:6a:75:ef:cd,5a:41:0c:70:6c:64,None,None,42,,0.013578176498413086,0,126,2,2,0.19398906356801093,0.806010936431989
5a:41:0c:70:6c:64,d2:c6:6a:75:ef:cd,10.0.0.1,10.0.0.2,74,TCP,0.011722803115844727,0,200,3,3,0.7895238095238095,0.21047619047619048
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008886575698852539,2,242,3,4,0.8692857142857144,0.13071428571428573
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,24.189067840576172,0,0,1,0,0.492413714897074,0.5075862851029259
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.036392927169799805,1,84,1,1,0.44899484257572486,0.5510051574242751
16:af:70:35:e3:fa,5a:41:0c:70:6c:64,None,None,42,,0.013670682907104492,0,126,2,2,0.19398906356801093,0.806010936431989
5a:41:0c:70:6c:64,16:af:70:35:e3:fa,10.0.0.1,10.0.0.3,98,ICMP,0.010881423950195312,0,224,3,3,0.7695238095238095,0.23047619047619047
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008847713470458984,2,266,3,4,0.8572857142857144,0.1427142857142857
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.1658785343170166,3,308,3,5,0.9591666666666666,0.04083333333333333
72:e8:c7:84:4a:86,5a:41:0c:70:6c:64,None,None,42,,0.03553056716918945,0,350,4,6,0.54,0.46
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.01288914680480957,4,392,4,7,0.97,0.03
5a:41:0c:70:6c:64,72:e8:c7:84:4a:86,10.0.0.1,10.0.0.4,98,ICMP,0.01109457015991211,0,490,5,8,0.88,0.12
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009037971496582031,5,532,5,9,0.9521666666666667,0.04783333333333333
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.13706159591674805,6,574,5,10,0.9533333333333333,0.04666666666666666
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.041010379791259766,7,616,5,11,0.9233333333333335,0.07666666666666666
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.015276670455932617,8,658,5,12,0.9594117647058823,0.04058823529411765
8a:fe:61:83:14:22,5a:41:0c:70:6c:64,None,None,42,,0.010824918746948242,0,700,6,13,0.8996428571428572,0.10035714285714285
8a:fe:61:83:14:22,5a:41:0c:70:6c:64,None,None,42,,0.009866476058959961,1,742,6,14,0.9748043720412142,0.025195627958785854
8a:fe:61:83:14:22,5a:41:0c:70:6c:64,None,None,42,,0.010100841522216797,2,784,6,15,1.0,0.0
5a:41:0c:70:6c:64,8a:fe:61:83:14:22,10.0.0.1,10.0.0.7,98,ICMP,0.01049041748046875,0,882,7,16,0.96,0.04
5a:41:0c:70:6c:64,8a:fe:61:83:14:22,10.0.0.1,10.0.0.7,98,ICMP,0.010282278060913086,1,980,7,17,0.9975714285714287,0.0024285714285714284
5a:41:0c:70:6c:64,8a:fe:61:83:14:22,10.0.0.1,10.0.0.7,98,ICMP,0.010097026824951172,2,1078,7,18,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.0790872573852539,9,1120,7,19,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.024112939834594727,10,1162,7,20,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.019194841384887695,11,1204,7,21,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.2438199520111084,12,1246,7,22,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.041245222091674805,13,1288,7,23,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.015416860580444336,14,1330,7,24,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.15767478942871094,12,1106,5,20,0.99,0.01
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.043241024017333984,13,1148,5,21,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.013006448745727539,14,1190,5,22,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.1463766098022461,12,966,3,18,0.98,0.02
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.04249835014343262,13,1008,3,19,0.96,0.04
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.01552128791809082,14,1050,3,20,0.99,0.01
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.14974761009216309,12,644,2,13,0.9787870832870831,0.021212916712916717
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.037586212158203125,13,588,1,13,0.9617431373271998,0.038256862672800034
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.014911174774169922,14,630,1,14,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.03705334663391113,14,630,1,14,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.013003826141357422,15,672,1,15,0.944675718081617,0.055324281918382755
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.012609481811523438,15,672,1,15,0.944675718081617,0.055324281918382755
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.08678913116455078,15,672,1,15,0.944675718081617,0.055324281918382755
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.041760921478271484,16,714,1,16,0.9571532303151484,0.042846769684851724
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.015194416046142578,17,756,1,17,0.9452540909963111,0.054745909003688725
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.12091612815856934,17,756,1,17,0.9452540909963111,0.054745909003688725
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.03903937339782715,17,756,1,17,0.9452540909963111,0.054745909003688725
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.014841079711914062,17,756,1,17,0.9452540909963111,0.054745909003688725
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.010571002960205078,18,798,1,18,0.9932071514135938,0.00679284858640603
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009253740310668945,19,840,1,19,0.9939212358351842,0.006078764164815417
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009473562240600586,20,882,1,20,0.9937813215591242,0.006218678440875699
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.19804048538208008,18,798,1,18,0.9932071514135938,0.00679284858640603
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.03964090347290039,19,840,1,19,0.9939212358351842,0.006078764164815417
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.014807462692260742,20,882,1,20,0.9937813215591242,0.006218678440875699
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.01055002212524414,21,924,1,21,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.00910329818725586,22,966,1,22,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.00932931900024414,23,1008,1,23,0.9980120964845592,0.001987903515441127
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.05178427696228027,23,1008,1,23,0.9980120964845592,0.001987903515441127
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.034778594970703125,24,1050,1,24,0.9981171724636805,0.0018828275363196123
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.014086246490478516,24,1050,1,24,0.9981171724636805,0.0018828275363196123
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.018429279327392578,24,1050,1,24,0.9981171724636805,0.0018828275363196123
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009753227233886719,25,1092,1,25,0.9985019605192654,0.0014980394807347604
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009520292282104492,26,1134,1,26,0.9984560669500202,0.0015439330499795504
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.1366558074951172,26,1134,1,26,0.9984560669500202,0.0015439330499795504
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.03458452224731445,25,1092,1,25,0.9985019605192654,0.0014980394807347604
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.013602256774902344,26,1134,1,26,0.9984560669500202,0.0015439330499795504
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.010535240173339844,27,1176,1,27,0.9980453116863565,0.0019546883136439585
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009413480758666992,28,1218,1,28,0.9977451414363674,0.0022548585636324257
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009667396545410156,28,1218,1,28,0.9977451414363674,0.0022548585636324257
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.20514392852783203,24,1050,1,24,0.9981171724636805,0.0018828275363196123
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.03712892532348633,25,1092,1,25,0.9985019605192654,0.0014980394807347604
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.013313770294189453,26,1134,1,26,0.9984560669500202,0.0015439330499795504
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009880304336547852,27,1176,1,27,0.9980453116863565,0.0019546883136439585
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.00864100456237793,28,1218,1,28,0.9977451414363674,0.0022548585636324257
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009082794189453125,28,1218,1,28,0.9977451414363674,0.0022548585636324257
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.00897526741027832,29,1260,1,29,0.9977717768802711,0.002228223119729025
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008695602416992188,30,1302,1,30,0.9954960389183956,0.004503961081604485
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.00896596908569336,31,1344,1,31,0.9957402148203951,0.004259785179604964
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008632421493530273,32,1386,1,32,0.9958004648601713,0.004199535139829061
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009139537811279297,32,1386,1,32,0.9958004648601713,0.004199535139829061
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008856773376464844,32,1386,1,32,0.9958004648601713,0.004199535139829061
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008792400360107422,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008810997009277344,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009322404861450195,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.042756080627441406,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009972572326660156,34,1470,1,34,0.9934787551356368,0.006521244864363047
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009527921676635742,35,1512,1,35,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.16845321655273438,35,1512,1,35,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.037508249282836914,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.01562190055847168,32,1386,1,32,0.9958004648601713,0.004199535139829061
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.010068893432617188,33,1428,1,33,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.009736061096191406,34,1470,1,34,0.9934787551356368,0.006521244864363047
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.008857965469360352,35,1512,1,35,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.04475092887878418,35,1512,1,35,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.010339021682739258,36,1554,1,36,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.01016998291015625,36,1554,1,36,1.0,0.0
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.042958974838256836,34,1470,1,34,0.9934787551356368,0.006521244864363047
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.010246038436889648,34,1470,1,34,0.9934787551356368,0.006521244864363047
5a:41:0c:70:6c:64,ff:ff:ff:ff:ff:ff,None,None,42,,0.011831283569335938,35,1512,1,35,1.0,0.0
d2:c6:6a:75:ef:cd,ff:ff:ff:ff:ff:ff,None,None,42,,0.009647607803344727,0,1554,2,36,1.0,0.0
16:af:70:35:e3:fa,d2:c6:6a:75:ef:cd,None,None,42,,0.009583711624145508,0,1596,3,37,1.0,0.0
d2:c6:6a:75:ef:cd,ff:ff:ff:ff:ff:ff,None,None,42,,0.008908748626708984,1,1638,3,38,1.0,0.0
