eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.492413714897074,0.5075862851029259
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.0329289436340332,1,84,1,1,0.44899484257572486,0.5510051574242751
4e:97:14:19:90:f0,e2:d8:fd:9f:89:90,None,None,42,,0.014090776443481445,0,126,2,2,0.19398906356801093,0.806010936431989
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010082244873046875,2,168,2,3,0.5781190476190475,0.4218809523809524
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,74,TCP,0.009659051895141602,0,242,3,4,0.91,0.09
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,66,TCP,0.010553359985351562,1,308,3,5,0.4333333333333333,0.5666666666666668
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.009518861770629883,2,1822,3,6,0.26,0.74
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.009514570236206055,3,3336,3,7,0.61,0.39
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.009303092956542969,4,4850,3,8,0.73,0.27
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.008973360061645508,5,6364,3,9,0.7371428571428572,0.26285714285714284
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.00906229019165039,6,7878,3,10,0.745,0.255
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.008933305740356445,7,9392,3,11,0.79,0.21
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.00884556770324707,8,10906,3,12,0.81,0.19
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.00914454460144043,9,12420,3,13,0.82,0.18
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.009763956069946289,10,13934,3,14,0.81,0.19
e2:d8:fd:9f:89:90,4e:97:14:19:90:f0,10.0.0.1,10.0.0.2,1514,TCP,0.009378671646118164,11,15448,3,15,0.81,0.19
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,24.13892149925232,0,0,1,0,0.492413714897074,0.5075862851029259
66:5d:20:7a:14:b2,e2:d8:fd:9f:89:90,None,None,42,,0.04089999198913574,0,84,2,1,0.36156493506493503,0.6384350649350646
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.01359105110168457,1,126,2,2,0.22899206349206339,0.7710079365079365
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.011252164840698242,2,168,2,3,0.5781190476190475,0.4218809523809524
e2:d8:fd:9f:89:90,66:5d:20:7a:14:b2,10.0.0.1,10.0.0.3,98,ICMP,0.009079933166503906,0,266,3,4,0.81,0.19
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.1284482479095459,3,308,3,5,0.9591666666666666,0.04083333333333333
52:89:b9:c5:5b:84,e2:d8:fd:9f:89:90,None,None,42,,0.04210019111633301,0,350,4,6,0.54,0.46
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014497518539428711,4,392,4,7,0.97,0.03
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.011159896850585938,5,434,4,8,0.9375,0.0625
e2:d8:fd:9f:89:90,52:89:b9:c5:5b:84,10.0.0.1,10.0.0.4,98,ICMP,0.009221076965332031,0,532,5,9,0.96,0.04
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.12878012657165527,6,574,5,10,0.9533333333333333,0.04666666666666666
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04118943214416504,7,616,5,11,0.9233333333333335,0.07666666666666666
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015754222869873047,8,658,5,12,0.9594117647058823,0.04058823529411765
ae:1e:9d:60:ec:9d,e2:d8:fd:9f:89:90,None,None,42,,0.010898113250732422,0,700,6,13,0.8996428571428572,0.10035714285714285
ae:1e:9d:60:ec:9d,e2:d8:fd:9f:89:90,None,None,42,,0.010003328323364258,1,742,6,14,0.9748043720412142,0.025195627958785854
ae:1e:9d:60:ec:9d,e2:d8:fd:9f:89:90,None,None,42,,0.010212421417236328,2,784,6,15,1.0,0.0
e2:d8:fd:9f:89:90,ae:1e:9d:60:ec:9d,10.0.0.1,10.0.0.7,98,ICMP,0.009924888610839844,0,882,7,16,0.96,0.04
e2:d8:fd:9f:89:90,ae:1e:9d:60:ec:9d,10.0.0.1,10.0.0.7,98,ICMP,0.010183095932006836,1,980,7,17,0.9975714285714287,0.0024285714285714284
e2:d8:fd:9f:89:90,ae:1e:9d:60:ec:9d,10.0.0.1,10.0.0.7,98,ICMP,0.009949445724487305,2,1078,7,18,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.08388018608093262,9,1120,7,19,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.03897404670715332,10,1162,7,20,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.013818025588989258,11,1204,7,21,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.15027427673339844,12,1246,7,22,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.03934192657470703,13,1288,7,23,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.013409137725830078,14,1330,7,24,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.1556529998779297,14,1330,7,24,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04208779335021973,14,1288,6,23,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015111446380615234,14,1190,5,22,1.0,0.0
